count,detect_count,time,response,tag_velK,anzenK,uv_velK,bbox_lefttop_x,bbox_lefttop_y,bbox_rightbottom_x,bbox_rightbottom_y,pure_bbox_lefttop_x,pure_bbox_lefttop_y,pure_bbox_rightbottom_x,pure_bbox_rightbottom_y,episode,reward
0.0,0.0,-1614675349.5688474,-1614675349.56887,1.0,2.0,0.0,0,0,1280,720,0,0,0,0,0,0.0
1,1,0.15966105461120605,0.15978598594665527,1.0,2.0,0.0,951.3569946494105,229.52494284811593,997.1608063880755,273.9863619453573,962.8079475840767,240.64029762242626,985.7098534534092,262.871007171047,1,0.0
2,2,0.18592381477355957,0.02628159523010254,1.0,2.0,0.0,951.4272220352987,229.61813427859457,996.9159318815393,273.81350023291395,962.7993994968588,240.66697576717442,985.5437544199792,262.76465874433416,1,0.0
3,3,0.22205424308776855,0.03612065315246582,1.0,2.0,0.0,952.1060954226866,229.65874798088237,996.3095110501333,273.6910193176337,963.1569493295483,240.6668158150702,985.2586571432716,262.68295148344583,1,0.0
4,4,0.2853527069091797,0.06330013275146484,1.0,2.0,0.0,952.372600478395,229.55881262926707,996.0704172756996,273.7235701922459,963.2970546777212,240.60000202001177,985.1459630763734,262.68238080150115,1,0.0
5,5,0.3466618061065674,0.061307430267333984,1.0,2.0,0.0,951.8115427903139,229.47945385817718,996.4829130603558,273.66922376972093,962.9793853578244,240.52689633606312,985.3150704928453,262.62178129183496,1,0.0
6,6,0.38208556175231934,0.03542208671569824,1.0,2.0,0.0,951.7619427838558,229.56078607234852,996.8597873222382,273.66524432222263,963.0364039184515,240.58690063481703,985.5853261876425,262.6391297597541,1,0.0
7,7,0.470745325088501,0.08865833282470703,1.0,2.0,0.0,951.4510731398221,229.51531763527808,996.9142442344452,273.9719375955158,962.8168659134778,240.62947262533748,985.5484514607895,262.85778260545635,1,0.0
8,8,0.5459458827972412,0.07520389556884766,1.0,2.0,0.0,952.3718391654105,229.5557838827333,996.0749195787433,273.5208185799465,963.2976092687437,240.5470425570366,985.1491494754101,262.52955990564317,1,0.0
9,9,0.5987539291381836,0.052809953689575195,1.0,2.0,0.0,951.6880964689665,229.6741926278846,996.6721870948454,273.7429974739108,962.9341191254362,240.69139383939114,985.4261644383757,262.7257962624043,1,0.0
10,10,0.6307635307312012,0.03201484680175781,1.0,2.0,0.0,951.9666397794608,229.6345527993501,996.5779736011257,273.6191458406377,963.119473234877,240.630701059672,985.4251401457095,262.6229975803158,1,0.0
11,11,0.6364500522613525,0.005684614181518555,1.0,2.0,0.0,952.0144468537222,229.500737760392,996.3117243174951,273.61027229628394,963.0887662196654,240.528121394365,985.2374049515519,262.582888662311,1,0.0
12,12,0.6890110969543457,0.05256199836730957,1.0,2.0,0.0,951.7413437416764,229.51285772041163,996.573683690545,273.867715571968,962.9494287288935,240.60157218330073,985.3655987033278,262.77900110907893,1,0.0
13,13,0.7301781177520752,0.041159629821777344,1.0,2.0,0.0,952.5630955218045,229.40068143123366,996.069967093183,273.6987765580616,963.439813414649,240.47520521294064,985.1932492003384,262.6242527763546,1,0.0
14,14,0.7789552211761475,0.04877424240112305,1.0,2.0,0.0,951.7698047867888,229.77522879177488,996.7890675405896,273.6250618105412,963.024620475239,240.73768704646645,985.5342518521394,262.6626035558496,1,0.0
15,15,0.813884973526001,0.0349421501159668,1.0,2.0,0.0,951.1644540653135,229.959514936986,997.3709329896551,273.3163060483641,962.7160737963989,240.79871271483051,985.8193132585698,262.4771082705196,1,0.0
16,16,0.8170802593231201,0.00319671630859375,1.0,2.0,0.0,951.8741208697504,229.64867413919566,996.5953702723366,273.67695757054196,963.054433220397,240.65574499703223,985.41505792169,262.66988671270536,1,0.0
17,17,0.870840311050415,0.05375313758850098,1.0,2.0,0.0,950.8547801773099,229.48247604653272,996.3364737394237,273.7181009589982,962.2252035678383,240.5413822746491,984.9660503488952,262.65919473088184,1,0.0
18,18,0.9261825084686279,0.05533933639526367,1.0,2.0,0.0,950.5220725808084,229.5727423095539,995.2606659413376,273.5845425239677,961.7067209209407,240.57569236315734,984.0760176012053,262.5815924703643,1,0.0
19,19,0.9923677444458008,0.06617212295532227,1.0,2.0,0.0,948.3934203224564,229.46571422741,994.3354898665782,273.58565413316353,959.8789377084869,240.49569920384837,982.8499724805478,262.5556691567251,1,0.0
20,20,1.0401732921600342,0.04780268669128418,1.0,2.0,0.0,946.0007772910882,229.23769963893764,992.9284076847752,273.75607273227524,957.73268488951,240.36729291227203,981.1965000863534,262.6264794589409,1,0.0
21,21,1.1254982948303223,0.08534002304077148,1.0,2.0,0.0,944.857425378056,229.19743967511187,991.6842486820826,273.86523174212834,956.5641312040626,240.364387691866,979.977542856076,262.6982837253742,1,0.0
22,22,1.2087528705596924,0.0832059383392334,1.0,9.971372263108483,3.548035783075932,798.944740224803,138.16350915867758,1081.2776858294983,364.7069974823052,954.1896521729535,240.26647908297875,977.3568605419342,262.6040275580041,1,24.99999999999998
